schemaVersion,recordType,source.name,source.url,content.entityName,content.data.employeeCount,collectedAt
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/tovala,Tovala,375,2026-09-10T13:58:54.491897+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/isono-health,iSono Health,9,2026-09-10T13:58:54.496607+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/getaccept,GetAccept,200,2026-09-10T13:58:54.501025+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/chatfuel,Chatfuel,53,2026-09-10T13:58:54.506452+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/yardbook,Yardbook,,2026-09-10T13:58:54.510119+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/gocardless,GoCardless,900,2026-09-10T13:58:54.514229+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/stealth-worker,Stealth Worker,5,2026-09-10T13:58:54.520768+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/deepgram,Deepgram,115,2026-09-10T13:58:54.526213+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/soundboks,SOUNDBOKS,50,2026-09-10T13:58:54.529987+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/lattice,Lattice,540,2026-09-10T13:58:54.534286+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mux,Mux,95,2026-09-10T13:58:54.538223+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/human-interest,Human Interest,765,2026-09-10T13:58:54.543635+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/flirtey,Flirtey (SkyDrop),11,2026-09-10T13:58:54.548849+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/eight-sleep,Eight Sleep,100,2026-09-10T13:58:54.554868+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/instawork,Instawork,500,2026-09-10T13:58:54.558689+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/cofactor-genomics,Cofactor Genomics,13,2026-09-10T13:58:54.564087+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/bitmovin,Bitmovin,145,2026-09-10T13:58:54.567752+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/tetrascience,TetraScience,100,2026-09-10T13:58:54.574753+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/the-ticket-fairy,The Ticket Fairy,30,2026-09-10T13:58:54.580010+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/font-awesome,Font Awesome,17,2026-09-10T13:58:54.584468+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/80-000-hours,"80,000 Hours",13,2026-09-10T13:58:54.590256+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/xendit,Xendit,700,2026-09-10T13:58:54.593907+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/shred-video,Shred Video,2,2026-09-10T13:58:54.598826+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/shape-shapescale,Shape (ShapeScale),7,2026-09-10T13:58:54.606268+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/redcarpetup,RedCarpetUp,100,2026-09-10T13:58:54.610733+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/plate-iq,Plate IQ,200,2026-09-10T13:58:54.614799+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/picktrace,PickTrace,65,2026-09-10T13:58:54.618816+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/fountain,Fountain,200,2026-09-10T13:58:54.624638+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/microhealth,Microhealth,25,2026-09-10T13:58:54.629148+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/zeplin,Zeplin,140,2026-09-10T13:58:54.632766+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/markhor,Markhor,5,2026-09-10T13:58:54.637747+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/circle-medical,Circle Medical,235,2026-09-10T13:58:54.643171+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/givecampus,GiveCampus,130,2026-09-10T13:58:54.647444+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/drip-capital,Drip Capital,280,2026-09-10T13:58:54.652133+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/chaldal,Chaldal,2886,2026-09-10T13:58:54.657695+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/clerky,Clerky,35,2026-09-10T13:58:54.660977+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/bodyport,Bodyport,19,2026-09-10T13:58:54.664412+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/verge-genomics,Verge Genomics,50,2026-09-10T13:58:54.670968+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/thrive-agritech,Thrive Agritech,8,2026-09-10T13:58:54.677131+00:00
