rawName,canonicalName,source,confidenceScore,method,timestamp
Tempo,Tempo,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.855194+00:00
SIRUM,SIRUM,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.858505+00:00
Sails Co.,Sails,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.862487+00:00
ReadMe,ReadMe,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.866205+00:00
BuildScience,BuildScience,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.872548+00:00
Platzi,Platzi,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.876452+00:00
Labdoor,Labdoor,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.879912+00:00
GiveMeTap,GiveMeTap,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.883909+00:00
Bankjoy,Bankjoy,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.888969+00:00
Zeitview,Zeitview,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.893062+00:00
The Human Utility,The Human Utility,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.898600+00:00
Democracy Earth,Democracy Earth,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.905966+00:00
OneSignal,OneSignal,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.910222+00:00
Numerion Labs,Numerion,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.914994+00:00
Bright,Bright,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.918426+00:00
Magic,Magic,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.924067+00:00
Mezmo,Mezmo,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.927183+00:00
Akido Labs,Akido,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.931319+00:00
Qventus,Qventus,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.934849+00:00
Bayes Impact,Bayes Impact,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.941766+00:00
Helion Energy,Helion Energy,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.946624+00:00
HackerRank,HackerRank,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.950730+00:00
Front,Front,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.956617+00:00
Apollo,Apollo,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.433284+00:00
Roomstorm,Roomstorm,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.439572+00:00
Hive,Hive,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.442781+00:00
SpotAngels,SpotAngels,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.447223+00:00
UserGems,UserGems,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.452463+00:00
SFOX,SFOX,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.455875+00:00
PicnicAI,PicnicAI,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.459845+00:00
Permutive,Permutive,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.463917+00:00
Alchemy,Alchemy,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.469546+00:00
MTailor,MTailor,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.473315+00:00
MetricWire,MetricWire,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.477716+00:00
Protocol Labs,Protocol,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.482413+00:00
Greentoe,Greentoe,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.488656+00:00
Hyperpad,Hyperpad,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.492517+00:00
Flaviar,Flaviar,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.496552+00:00
Clear,Clear,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.499902+00:00
Backpack,Backpack,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.505114+00:00
Immunity Project,Immunity Project,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.510039+00:00
Dyspatch,Dyspatch,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.514607+00:00
OpenCurriculum,OpenCurriculum,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.520695+00:00
MixerBox,MixerBox,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.524463+00:00
Y Combinator,Y Combinator,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.529221+00:00
GBatteries,GBatteries,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.533601+00:00
Zinc,Zinc,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.539064+00:00
Zidisha,Zidisha,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.543114+00:00
TrueVault,TrueVault,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.547329+00:00
Guesty,Guesty,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.550758+00:00
Snapdocs,Snapdocs,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.556657+00:00
Medmonk,Medmonk,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.560374+00:00
Shoobs,Shoobs,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.563513+00:00
Pushbullet,Pushbullet,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.568592+00:00
Povio,Povio,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.573685+00:00
PiinPoint,PiinPoint,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.577629+00:00
One Degree,One Degree,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.581642+00:00
MBX,MBX,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.585024+00:00
Emailio,Emailio,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.590208+00:00
CodeNow,CodeNow,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.593679+00:00
CodeCombat,CodeCombat,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.597649+00:00
Noora Health,Noora Health,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.604120+00:00
Cambly,Cambly,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.607708+00:00
AptDeco,AptDeco,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.611357+00:00
CareMessage,CareMessage,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.615419+00:00
Ambition,Ambition,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.621509+00:00
AirHelp,AirHelp,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.625140+00:00
42,42,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.627388+00:00
True Link,True Link,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.631681+00:00
Reebee,Reebee,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.638099+00:00
Lob,Lob,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.640960+00:00
Panorama Education,Panorama Education,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:56.646525+00:00
